precio,uva,dia,mes,ano,decena_1,decena_2,decena_3,tri_1,tri_2,tri_3,tri_4,precio_lr,abs_dif_lr,desvio%_lr,precio_rf,abs_dif_rf,desvio%_rf,aciertos_lr
955,463.0,2,1,24,1,0,0,1,0,0,0,1038.3192613933063,83.3192613933063,0.08724529988827885,1032.43125,77.43125000000009,0.08107984293193726,0
1205,525.0,24,1,24,0,0,1,1,0,0,0,1070.588216538722,134.411783461278,0.11154504851558339,1163.53125,41.46875,0.03441390041493776,0
1165,561.0,1,2,24,1,0,0,1,0,0,0,1062.1302335909677,102.86976640903231,0.08830022867728095,1116.55625,48.44374999999991,0.04158261802575099,0
1020,680.0,1,3,24,1,0,0,1,0,0,0,1091.0435569738422,71.04355697384221,0.06965054605278649,1007.66875,12.331249999999955,0.012089460784313681,0
975,716.0,11,3,24,0,1,0,1,0,0,0,1107.6106779473496,132.6106779473496,0.13601095174087138,990.2375,15.237499999999955,0.01562820512820508,0
1000,744.0,15,3,24,0,1,0,1,0,0,0,1114.4138128609673,114.41381286096725,0.11441381286096726,999.9,0.10000000000002274,0.00010000000000002273,0
1000,761.0,20,3,24,0,1,0,1,0,0,0,1118.5442876299492,118.54428762994917,0.11854428762994916,998.74375,1.2562500000000227,0.0012562500000000228,0
990,770.0,25,3,24,0,0,1,1,0,0,0,1130.1156470328754,140.11564703287536,0.141530956598864,1002.15625,12.15625,0.012279040404040403,0
975,786.0,3,4,24,1,0,0,0,1,0,0,1152.5846256220732,177.5846256220732,0.1821380775611007,988.4625,13.462499999999977,0.013807692307692285,0
970,828.0,10,4,24,1,0,0,0,1,0,0,1162.7893279924995,192.78932799249947,0.19875188452834996,998.06875,28.068750000000023,0.028936855670103116,0
1005,860.0,22,4,24,0,0,1,0,1,0,0,1187.769210016182,182.7692100161819,0.18185991046386257,1011.3,6.2999999999999545,0.006268656716417865,0
1025,875.0,25,4,24,0,0,1,0,1,0,0,1191.4137465770484,166.4137465770484,0.16235487470931553,1020.21875,4.78125,0.004664634146341463,0
1010,890.0,30,4,24,0,0,1,0,1,0,0,1195.058283137915,185.05828313791494,0.18322602290882667,1014.2125,4.212499999999977,0.0041707920792078985,0
1010,894.0,2,5,24,1,0,0,0,1,0,0,1178.8252888603122,168.82528886031218,0.16715375134684374,1010.96875,0.96875,0.0009591584158415841,0
1010,916.0,8,5,24,1,0,0,0,1,0,0,1184.170609149583,174.17060914958302,0.17244614767285446,1015.89375,5.8937499999999545,0.005835396039603915,0
1010,922.0,10,5,24,1,0,0,0,1,0,0,1185.6284237739296,175.62842377392963,0.17388952848903924,1037.1375,27.137500000000045,0.026868811881188163,0
1070,938.0,15,5,24,0,1,0,0,1,0,0,1197.3361626662818,127.33616266628178,0.11900575950119792,1093.31875,23.31874999999991,0.021793224299065335,0
1150,947.0,20,5,24,0,1,0,0,1,0,0,1199.5228846028017,49.522884602801696,0.043063377915479734,1143.81875,6.181250000000091,0.005375000000000079,0
1260,962.0,24,5,24,0,0,1,0,1,0,0,1212.5520586300743,47.44794136992573,0.03765709632533788,1238.94375,21.05625000000009,0.016711309523809597,0
1200,965.0,25,5,24,0,0,1,0,1,0,0,1213.2809659422476,13.280965942247576,0.011067471618539647,1205.34375,5.34375,0.004453125,0
1200,965.0,26,5,24,0,0,1,0,1,0,0,1213.2809659422476,13.280965942247576,0.011067471618539647,1205.34375,5.34375,0.004453125,0
1200,965.0,27,5,24,0,0,1,0,1,0,0,1213.2809659422476,13.280965942247576,0.011067471618539647,1205.34375,5.34375,0.004453125,0
1185,973.0,28,5,24,0,0,1,0,1,0,0,1215.2247187747098,30.2247187747098,0.02550609179300405,1208.0125,23.012500000000045,0.01941983122362873,0
1210,975.0,29,5,24,0,0,1,0,1,0,0,1215.7106569828254,5.710656982825412,0.004719551225475548,1208.53125,1.46875,0.0012138429752066116,0
1210,978.0,30,5,24,0,0,1,0,1,0,0,1216.4395642949987,6.439564294998718,0.005321953962808858,1208.53125,1.46875,0.0012138429752066116,0
1210,981.0,31,5,24,0,0,1,0,1,0,0,1217.168471607172,7.168471607172023,0.005924356700142168,1207.55625,2.443749999999909,0.0020196280991734788,0
1205,983.0,1,6,24,1,0,0,0,1,0,0,1200.4495391214537,4.550460878546346,0.0037763160817812,1205.63125,0.631249999999909,0.0005238589211617503,0
1205,983.0,2,6,24,1,0,0,0,1,0,0,1200.4495391214537,4.550460878546346,0.0037763160817812,1205.63125,0.631249999999909,0.0005238589211617503,0
1205,983.0,3,6,24,1,0,0,0,1,0,0,1200.4495391214537,4.550460878546346,0.0037763160817812,1205.63125,0.631249999999909,0.0005238589211617503,0
